"Date","Year","Month","Day","nNO.24hm.lag0","nNOX.24hm.lag0","nO3.8hmx.lag0"
1980-01-01,1980,1,1,52.2222222222222,73.4722222222222,4.4375
1980-01-02,1980,1,2,44.4444444444444,64.1666666666667,6.53125
1980-01-03,1980,1,3,37.7777777777778,56.1111111111111,6.78125
1980-01-04,1980,1,4,44.1425120772947,66.0929951690821,8.00892857142857
1980-01-05,1980,1,5,39.1304347826087,61.5942028985507,10.3616071428571
1980-01-06,1980,1,6,31.9444444444444,54.0277777777778,10.75
1980-01-07,1980,1,7,7.40942028985507,24.3840579710145,11.5625
1980-01-08,1980,1,8,14.3055555555556,32.5757575757576,10.3973214285714
1980-01-09,1980,1,9,26.5277777777778,45.8333333333333,7.98214285714286
1980-01-10,1980,1,10,45.1388888888889,66.25,7.9375
1980-01-11,1980,1,11,13.9613526570048,35.1871980676328,13.84375
1980-01-12,1980,1,12,3.47222222222222,18.3333333333333,17.03125
1980-01-13,1980,1,13,13.8888888888889,36.5277777777778,10.4166666666667
1980-01-14,1980,1,14,54.6980676328502,77.3128019323672,4.83333333333333
1980-01-15,1980,1,15,68.8526570048309,93.2246376811594,10.84375
1980-01-16,1980,1,16,6.19235836627141,22.5757575757576,9.83928571428571
1980-01-17,1980,1,17,45.2777777777778,69.5833333333333,3.53125
1980-01-18,1980,1,18,42.6388888888889,60.4166666666667,9.53125
1980-01-19,1980,1,19,16.5277777777778,34.4444444444444,16.4375
1980-01-20,1980,1,20,12.3611111111111,29.3055555555556,19.15625
1980-01-21,1980,1,21,37.7838164251208,60.4830917874396,11.5625
1980-01-22,1980,1,22,17.7146464646465,38.1186868686869,10.21875
1980-01-23,1980,1,23,15.9722222222222,34.1666666666667,16.2916666666667
1980-01-24,1980,1,24,37.5126262626263,61.4393939393939,14.5833333333333
1980-01-25,1980,1,25,88.1219806763285,118.472222222222,9.875
1980-01-26,1980,1,26,25.6944444444444,46.1111111111111,16.75
1980-01-27,1980,1,27,9.72222222222222,30.1388888888889,16.0625
1980-01-28,1980,1,28,24.963768115942,49.3840579710145,13.1339285714286
1980-01-29,1980,1,29,47.0580808080808,70.9974747474748,13.4821428571429
1980-01-30,1980,1,30,16.1904761904762,34.7619047619048,18.6666666666667
1980-01-31,1980,1,31,25.5555555555556,45.5555555555556,17.46875
1980-02-01,1980,2,1,30.9722222222222,51.8236714975845,17.8125
1980-02-02,1980,2,2,20.7246376811594,41.7391304347826,18.3125
1980-02-03,1980,2,3,17.7777777777778,37.9166666666667,16.25
1980-02-04,1980,2,4,35.262360446571,59.2615629984051,18.1875
1980-02-05,1980,2,5,85.5179615705931,115.543024227235,13.1904761904762
1980-02-06,1980,2,6,18.125,42.2916666666667,9.58333333333333
1980-02-07,1980,2,7,30.8333333333333,54.5833333333333,11.7321428571429
1980-02-08,1980,2,8,48.743961352657,76.1896135265701,13.2946428571429
1980-02-09,1980,2,9,28.1944444444444,54.3055555555556,15.46875
